osm_id,osm_type,lat,lon,ramp,kerb,wheelchair,highway
2508541550,node,22.2834384,114.1910921,,,yes,bus_stop
2508541551,node,22.2834665,114.1910904,,,yes,bus_stop
2508541553,node,22.2835667,114.1910845,,,yes,bus_stop
2511239996,node,22.4515514,114.1653296,,lowered,,
2511241021,node,22.4461914,114.1662302,,,yes,
2512178963,node,22.2844786,114.0371381,,,yes,
2514290805,node,22.4502444,114.1693578,,,yes,
2514363613,node,22.3688337,114.1140379,,flush,,
2514363615,node,22.3689563,114.114123,,lowered,,
2526461047,node,22.286109,114.216995,,,yes,bus_stop
2546436295,node,22.295561,114.1750721,,,yes,
2547538030,node,22.3089876,114.2606724,,,yes,
2555174996,node,22.2811785,114.1285401,,,yes,
2555174998,node,22.2818121,114.1293531,,,yes,
2555184303,node,22.2832689,114.136744,,,yes,
2555184305,node,22.28564,114.1351513,,,yes,
2555184306,node,22.2844548,114.1346392,,,yes,
2555265437,node,22.2864364,114.1418059,,,yes,
2555265438,node,22.2862083,114.1417987,,,yes,
2555265441,node,22.2870918,114.1444696,,,yes,
2555299657,node,22.2861706,114.1536409,,,yes,
2555348136,node,22.2816497,114.1587712,,,yes,
2556667486,node,22.2792986,114.1650768,,,yes,
2556667490,node,22.2787238,114.1655709,,,yes,
2556799124,node,22.280641,114.1844978,,,yes,elevator
2556829055,node,22.2829199,114.1921408,,,yes,
2566130974,node,22.2816305,114.2222887,,,yes,
2566130977,node,22.2846366,114.2163223,,,yes,
2578042194,node,22.3152336,114.0454351,,,yes,
2586286211,node,22.3128431,114.2173249,,,yes,
2590405744,node,22.284982,114.1600049,,,yes,bus_stop
2600839054,node,22.4513269,114.165037,,flush,,
2600839066,node,22.4513562,114.1650757,,flush,,
2609916590,node,22.5009324,114.1284305,,,yes,
2609916951,node,22.5015745,114.1278273,,,yes,
2609916984,node,22.5015911,114.1273102,,,yes,
2609923037,node,22.4953702,114.1280933,,,yes,bus_stop
2621926076,node,22.4260429,114.2314292,,,yes,bus_stop
2626737790,node,22.3991473,113.9766196,,,yes,bus_stop
2626737791,node,22.3991998,113.9766296,,,yes,bus_stop
2630508549,node,22.3649736,114.0133949,,,yes,bus_stop
2630508555,node,22.3649583,114.0134042,,,yes,bus_stop
2630508559,node,22.365589,114.0125295,,,yes,bus_stop
2630508565,node,22.3656408,114.0124579,,,yes,bus_stop
2630508574,node,22.3660344,114.005468,,,yes,bus_stop
2630508584,node,22.3660472,114.0055556,,,yes,bus_stop
2630508588,node,22.3663953,114.0063749,,,yes,bus_stop
2630508592,node,22.3664155,114.0065096,,,yes,bus_stop
2630508598,node,22.3662803,114.0095163,,,yes,bus_stop
2630508603,node,22.3662836,114.0094765,,,yes,bus_stop
2630508608,node,22.3662932,114.0093579,,,yes,bus_stop
2630508612,node,22.3663442,114.0113532,,,yes,bus_stop
2630508615,node,22.3663594,114.0112447,,,yes,bus_stop
2630508616,node,22.366363,114.0112116,,,yes,bus_stop
